Age,Height,Weight,CH2O,FAF,TUE,Gender,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,SCC,CALC,MTRANS,obesity_level
33,1.67,75.0,2.0,1.0,0.0,Male,0,1,2,3,Sometimes,0,0,Sometimes,Automobile,2
22,1.71,69.0,1.0,1.0,0.0,Female,0,1,2,1,None,0,0,Sometimes,Public_Transportation,2
21,1.65,80.0,2.0,2.0,1.0,Female,0,1,2,4,Frequently,0,0,Frequently,Public_Transportation,3
31,1.827279,89.98168,1.781769,1.0,0.993786,Male,1,1,2,3,Sometimes,0,0,Sometimes,Automobile,2
20,1.751278,57.145917,2.843777,2.429923,0.009254,Male,1,1,2,3,Sometimes,0,0,None,Automobile,0
41,1.65,80.0,3.0,2.0,0.0,Female,1,0,3,1,Sometimes,0,0,Sometimes,Automobile,4
33,1.643786,77.224574,1.0,1.684582,0.0,Female,1,1,3,2,Sometimes,0,0,Sometimes,Automobile,4
25,1.835381,120.996074,3.0,1.089344,0.396352,Male,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,5
33,1.7,83.0,2.0,2.0,0.0,Male,0,1,2,3,Sometimes,0,0,Frequently,Automobile,3
23,1.68,67.0,2.0,0.0,1.0,Female,0,1,3,3,Frequently,0,0,None,Public_Transportation,1
25,1.668642,104.807284,1.551266,0.197993,0.58284,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
25,1.644141,102.813033,1.032834,0.069802,0.434073,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
23,1.72,80.0,2.0,1.0,2.0,Male,1,1,2,3,Sometimes,0,0,None,Public_Transportation,3
23,1.63,60.0,3.0,2.0,1.0,Female,1,1,3,1,Sometimes,0,0,Sometimes,Public_Transportation,1
24,1.6,66.0,2.0,1.0,0.0,Female,1,1,3,3,Sometimes,0,0,None,Public_Transportation,2
21,1.6,65.0,2.0,1.0,0.0,Male,0,0,2,3,Sometimes,0,0,None,Public_Transportation,1
24,1.756221,119.490976,2.36651,0.926592,0.906247,Male,1,1,1,3,Sometimes,0,0,Sometimes,Public_Transportation,5
21,1.62,70.0,3.0,2.0,1.0,Female,1,1,2,1,None,0,0,Sometimes,Public_Transportation,2
34,1.7,80.0,2.0,0.0,0.0,Male,1,1,3,3,Frequently,0,0,Sometimes,Automobile,3
21,1.62,70.0,2.0,1.0,0.0,Female,0,1,3,1,Sometimes,0,0,Sometimes,Public_Transportation,2
27,1.694642,99.605527,2.0,1.621733,0.0,Male,1,1,2,3,Sometimes,0,0,None,Public_Transportation,5
22,1.793378,105.000789,2.300666,0.005939,0.0,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,4
23,1.6,65.0,3.0,1.0,0.0,Female,1,0,3,1,Frequently,0,0,None,Public_Transportation,1
21,1.74,100.0,3.0,3.0,2.0,Male,1,1,2,3,Sometimes,0,0,None,Public_Transportation,4
22,1.872517,121.458232,1.0,1.051889,0.0,Male,1,1,2,2,Sometimes,0,0,Sometimes,Public_Transportation,5
30,1.759772,120.919703,2.988771,0.614959,1.285373,Male,1,1,2,3,Sometimes,0,0,Sometimes,Automobile,5
24,1.65,93.890682,2.793505,1.392026,0.527766,Male,1,1,1,3,Sometimes,0,0,None,Public_Transportation,4
33,1.83,85.0,2.0,2.0,0.0,Male,1,0,2,3,Sometimes,0,0,Sometimes,Automobile,3
40,1.56,80.0,1.0,0.0,0.0,Female,1,1,2,3,Sometimes,0,0,None,Public_Transportation,4
30,1.767563,118.436166,2.038958,1.018158,1.152899,Male,1,1,2,3,Sometimes,0,0,Sometimes,Automobile,5
26,1.631856,111.945588,2.987718,0.0,0.552006,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
31,1.767077,118.26569,2.117733,0.148628,0.0,Male,1,1,2,3,Sometimes,0,0,Sometimes,Automobile,5
21,1.746529,133.936535,2.868167,1.433151,0.926443,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
26,1.629727,110.600553,2.654517,0.0,0.452236,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
20,1.85,85.0,2.0,2.0,1.0,Male,1,1,3,3,Sometimes,0,0,Frequently,Public_Transportation,3
25,1.668649,104.754958,1.290979,0.162083,0.766668,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
43,1.614182,84.134712,1.228838,0.886817,0.0,Female,1,1,2,2,Sometimes,0,0,None,Automobile,4
25,1.84842,120.644178,3.0,1.628637,0.0,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,5
21,1.748584,133.166595,2.825629,1.501754,0.723366,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
29,1.84842,122.119682,1.591597,0.976425,0.0,Male,1,1,2,2,Sometimes,0,0,Sometimes,Automobile,5
26,1.812963,106.875927,2.621976,0.0,0.465607,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
26,1.879144,115.025361,2.042073,0.55181,1.58483,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,5
21,1.62,60.0,1.0,1.0,0.0,Male,0,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,1
22,1.75,95.0,3.0,3.0,0.0,Male,1,1,2,3,Sometimes,0,0,None,Public_Transportation,4
20,1.7,50.0,1.0,2.0,1.0,Female,0,1,1,4,Frequently,0,0,Sometimes,Public_Transportation,0
22,1.872517,112.536367,3.0,0.0,1.103349,Male,1,1,2,2,Sometimes,0,0,Sometimes,Public_Transportation,4
26,1.65,70.0,3.0,1.0,0.0,Female,1,0,3,1,Sometimes,0,0,Sometimes,Public_Transportation,2
21,1.812259,105.037463,2.147746,0.0,1.657098,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,4
26,1.653209,111.933152,2.708927,0.0,0.092736,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
24,1.7,80.0,2.0,0.0,2.0,Male,1,1,2,3,Always,0,0,None,Public_Transportation,3
21,1.782453,137.859737,2.770125,1.999897,0.912345,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
30,1.909188,129.874864,1.984323,0.854957,0.020044,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,5
21,1.62,54.0,3.0,1.0,0.0,Male,1,1,3,1,Sometimes,0,0,Sometimes,Public_Transportation,1
21,1.62,70.0,3.0,1.0,0.0,Male,0,0,2,1,None,0,0,Sometimes,Public_Transportation,2
23,1.66877,114.480696,2.506518,0.000272,0.247332,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
21,1.673665,121.205171,1.484938,0.063383,0.723154,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
26,1.630927,111.485516,2.444125,0.0,0.258472,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
42,1.556579,80.0,2.090413,0.0,0.0,Female,1,1,2,3,Sometimes,0,0,Sometimes,Automobile,4
21,1.700181,75.057177,1.453626,0.992717,0.096982,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,2
22,1.68,52.0,2.0,0.0,0.0,Female,0,1,3,3,Frequently,0,0,None,Public_Transportation,0
23,1.86714,121.835883,2.0,1.280191,0.0,Male,1,1,2,2,Sometimes,0,0,Sometimes,Public_Transportation,5
28,1.74,78.0,3.0,1.0,2.0,Male,1,0,1,1,Sometimes,0,0,Sometimes,Automobile,2
21,1.701413,97.813023,2.0,1.0,0.0,Male,1,1,2,1,Sometimes,0,0,None,Public_Transportation,3
20,1.781139,105.966894,2.041462,1.983265,0.648522,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,4
22,1.7,70.0,2.0,3.0,1.0,Male,0,1,2,1,Sometimes,0,0,Sometimes,Public_Transportation,2
20,1.64,65.0,2.0,0.0,0.0,Male,1,0,3,3,Sometimes,0,0,Sometimes,Public_Transportation,2
26,1.583889,110.545378,2.708927,0.0,0.278962,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
25,1.669039,104.988925,1.032834,0.162279,0.831412,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
21,1.745602,133.618706,2.476002,1.026452,0.807457,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
38,1.562434,76.202761,1.856315,0.0,0.0,Female,1,1,2,3,Sometimes,0,0,Sometimes,Automobile,4
33,1.685947,77.426465,1.0,0.94224,0.0,Female,1,1,2,2,Sometimes,0,0,None,Automobile,3
31,1.828391,91.798103,2.13755,0.288032,0.732881,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,3
23,1.639251,98.699971,2.0,0.0,1.0,Male,1,1,2,2,Sometimes,0,0,None,Public_Transportation,4
31,1.779325,118.29188,2.030084,1.910577,1.152899,Male,1,1,3,3,Sometimes,0,0,Sometimes,Automobile,5
21,1.729045,131.529267,1.419136,1.68291,0.939982,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
30,1.836592,92.860254,1.622638,0.033745,0.105895,Male,1,1,2,3,Sometimes,0,0,Sometimes,Public_Transportation,3
21,1.751029,53.65727,2.0,0.0,0.663649,Female,1,1,2,3,Frequently,0,0,None,Public_Transportation,0
21,1.766888,133.952675,2.471721,1.386151,0.912457,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
22,1.657132,94.790579,2.654702,0.0,1.030848,Male,1,1,2,2,Sometimes,0,0,Sometimes,Public_Transportation,4
20,1.724268,132.94066,1.853991,1.586525,0.885993,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
21,1.62,68.0,2.0,1.0,0.0,Female,0,1,2,1,None,0,0,Sometimes,Public_Transportation,2
26,1.624576,111.946321,2.984323,0.0,0.096576,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
26,1.632193,111.946321,2.7305,0.0,0.133523,Female,1,1,3,3,Sometimes,0,0,Sometimes,Public_Transportation,6
